INSTNM,LATITUDE,LONGITUDE
Palo Alto University,37.382216,-122.187437
Pacific Oaks College,34.153382,-118.151323
Pacific School of Religion,37.87669,-122.263155
Pacific States University,34.061315,-118.298408
Pacific Union College,38.570585,-122.440308
University of the Pacific,37.981424,-121.312301
Palo Verde College,33.661538,-114.651698
Palomar College,33.149483,-117.183978
Pasadena City College,34.144552,-118.118196
Pepperdine University,34.037786,-118.707077
Pitzer College,34.104107,-117.706675
Platt College-San Diego,32.76373,-117.063483
Point Loma Nazarene University,32.718391,-117.250265
Pomona College,34.099027,-117.714556
Porterville College,36.049256,-119.014368
Professional Institute of Beauty,34.075561,-118.039028
Santa Ana College,33.759309,-117.887558
Pardee RAND Graduate School,34.00973,-118.490655
Shasta School of Cosmetology,40.597114,-122.387248
University of Redlands,34.064218,-117.163218
College of the Redwoods,40.698427,-124.195293
Salon Success Academy-Upland,34.108247,-117.631783
Salon Success Academy-Corona,33.847649,-117.535638
Rio Hondo College,34.019821,-118.033506
Riverside City College,33.970918,-117.384323
Rosemead Beauty School,34.080756,-118.082793
Dongguk University-Los Angeles,34.06597,-118.289523
Sacramento City College,38.541096,-121.491139
Saddleback College,33.553346,-117.665584
Samuel Merritt University,37.82029,-122.266331
San Diego City College,32.717403,-117.152733
San Diego Mesa College,32.803825,-117.169165
San Diego Miramar College,32.909757,-117.120261
San Diego State University,32.77525,-117.071228
University of San Diego,32.770816,-117.192073
San Francisco Art Institute,37.803575,-122.417
San Francisco Conservatory of Music,37.775543,-122.420292
San Francisco State University,37.721224,-122.476799
San Francisco Theological Seminary,37.969952,-122.565407
University of San Francisco,37.776618,-122.450477
San Joaquin College of Law,36.82448,-119.697657
San Joaquin Delta College,37.995129,-121.318266
San Joaquin Valley College-Visalia,36.328049,-119.384981
William Jessup University,38.819728,-121.292312
San Jose City College,37.315827,-121.926185
San Jose State University,37.336569,-121.880621
College of San Mateo,37.535698,-122.334801
Santa Barbara Business College-Bakersfield,35.359544,-119.061264
Santa Barbara Business College-Santa Maria,34.937806,-120.433296
Santa Barbara City College,34.406788,-119.698045
Santa Clara University,37.348362,-121.93784
Santa Monica College,34.017022,-118.469765
Santa Rosa Junior College,38.45709,-122.718974
Saybrook University,37.80446,-122.272391
Scripps College,34.104147,-117.711294
College of the Sequoias,36.323877,-119.315182
Shasta Bible College and Graduate School,40.566034,-122.314419
Shasta College,40.625731,-122.317982
Sierra College,38.790773,-121.211688
Sierra College of Beauty,37.306975,-120.495874
Trinity Law School,33.766071,-117.852059
Simpson University,40.61334,-122.332981
College of the Siskiyous,41.413005,-122.38909
Charles A Jones Career and Education Center,38.516233,-121.440796
Skyline College,37.63042,-122.467335
San Bernardino Valley College,34.086353,-117.313248
Saint Mary's College of California,37.840731,-122.109031
Solano Community College,38.235881,-122.122368
Sonoma State University,38.340274,-122.677066
South Baylo University,33.848216,-117.958727
South Coast College,33.78818,-117.874031
Vanguard University of Southern California,33.662686,-117.900911
Concorde Career College-Garden Grove,33.774741,-117.938395
Southwestern College,32.640281,-116.996803
St John's Seminary,34.243921,-119.001867
Starr King School for the Ministry,37.876939,-122.261778
Marshall B Ketchum University,33.889348,-117.886229
Southern California Institute of Architecture,34.044215,-118.232799
University of Southern California,34.021281,-118.284169
Southwestern Law School,34.061558,-118.288375
Taft College,35.149343,-119.459751
Claremont School of Theology,34.107602,-117.715256
Thomas Aquinas College,34.429009,-119.087141
Epic Bible College,38.645152,-121.362642
United Education Institute-Huntington Park Campus,33.986057,-118.226206
Concorde Career College-San Bernardino,34.066823,-117.283995
Concorde Career College-North Hollywood,34.186407,-118.403627
Ventura College,34.277393,-119.230604
The Santa Barbara and Ventura Colleges of Law at Ventura,34.25747,-119.232988
Victor Valley College,34.472231,-117.261456
Berkeley City College,37.869769,-122.269877
Walden University,44.98125,-93.265738
