INSTNM,STABBR,COSTT4_A,AVGFACSAL,MD_EARN_WNE_P10,ADM_RATE,SAT_AVG,DEBT_MDN,UGDS
Hartnell College,CA,14629,8459,31200,NULL,NULL,4429.5,8829
Harvey Mudd College,CA,60613,12450,74200,0.1817,1483,23248,803
Heald College-Rancho Cordova,CA,24503,4803,34600,NULL,NULL,6334,1146
Heald College-Fresno,CA,23046,3896,34600,NULL,NULL,6334,1791
Heald College-San Jose,CA,23209,4604,34600,NULL,NULL,6334,1668
Heald College-San Francisco,CA,23587,4617,34600,NULL,NULL,6334,1070
Heald College-Concord,CA,22720,4515,34600,NULL,NULL,6334,1502
Hilltop Beauty School,CA,NULL,NULL,18800,NULL,NULL,PrivacySuppressed,126
Holy Names University,CA,46994,7717,51100,0.5668,910,18750,800
Pacifica Graduate Institute,CA,NULL,8539,NULL,NULL,NULL,PrivacySuppressed,NULL
Humboldt State University,CA,23113,8148,34700,0.8018,1008,13000,7748
Humphreys University-Stockton and Modesto Campuses,CA,21029,8986,26800,NULL,NULL,14115,757
Imperial Valley College,CA,9320,6030,23000,NULL,NULL,PrivacySuppressed,6663
Institute for Business and Technology,CA,NULL,NULL,32200,NULL,NULL,8023,173
Interior Designers Institute,CA,NULL,5652,31300,NULL,NULL,26943,293
Toni & Guy Hairdressing Academy-Santa Monica,CA,NULL,NULL,PrivacySuppressed,NULL,NULL,10556,268
Irvine Valley College,CA,16598,8909,33900,NULL,NULL,5250,11725
ITT Technical Institute-National City,CA,26686,5561,38800,0.9298,NULL,12224,1209
ITT Technical Institute-San Dimas,CA,26194,6048,38800,0.9617,NULL,12224,534
ITT Technical Institute-Orange,CA,25603,5924,38800,0.91,NULL,12224,823
Bellus Academy-El Cajon,CA,NULL,NULL,20500,NULL,NULL,7917,184
John F. Kennedy University,CA,NULL,6020,53700,NULL,NULL,16499,271
American Jewish University,CA,46466,6231,PrivacySuppressed,0.59,NULL,14500,109
Reedley College,CA,10026,8852,24200,NULL,NULL,3500,12081
Life Pacific College,CA,24492,6394,28700,0.7482,930,13000,475
Argosy University-The Art Institute of California-San Diego,CA,30521,5638,37800,NULL,NULL,6334,1869
University of La Verne,CA,45305,8605,48900,0.3895,1035,16750,5128
Laguna College of Art and Design,CA,39713,7782,31000,0.4327,NULL,19000,514
Lake Tahoe Community College,CA,10124,7726,25000,NULL,NULL,PrivacySuppressed,2155
Lancaster Beauty School,CA,NULL,NULL,15100,NULL,NULL,6333,93
Laney College,CA,14398,7334,27400,NULL,NULL,5500,10140
Lassen Community College,CA,13925,6753,25800,NULL,NULL,5469.5,2290
Life Chiropractic College West,CA,NULL,5416,NULL,NULL,NULL,PrivacySuppressed,NULL
Lincoln University,CA,20725,3325,PrivacySuppressed,NULL,NULL,4853,97
Southern California Seminary,CA,NULL,3463,PrivacySuppressed,NULL,NULL,10100,68
La Sierra University,CA,39842,7230,45100,0.4677,926,10999.5,2060
Loma Linda University,CA,NULL,7250,79100,NULL,NULL,15000,1101
Long Beach City College,CA,10615,7349,28500,NULL,NULL,4500,22475
Southern California University of Health Sciences,CA,NULL,5620,PrivacySuppressed,NULL,NULL,7500,0
Los Angeles Harbor College,CA,13977,6762,31500,NULL,NULL,3500,8719
Los Angeles Pierce College,CA,14213,7139,33000,NULL,NULL,6000,17528
Los Angeles Southwest College,CA,11945,5984,24500,NULL,NULL,2250,6129
Los Angeles Trade Technical College,CA,11030,7351,27800,NULL,NULL,3500,12033
Los Angeles Valley College,CA,13341,7552,30500,NULL,NULL,4750,16111
The Master's University and Seminary,CA,40815,7063,38600,0.6137,1104,14000,1112
Los Angeles City College,CA,11090,6981,26900,NULL,NULL,4937.5,16485
Los Angeles County College of Nursing and Allied Health,CA,NULL,8958,85100,NULL,NULL,10500,182
Los Angeles Mission College,CA,13281,6048,28900,NULL,NULL,5662,7931
Los Medanos College,CA,14140,6823,32800,NULL,NULL,3750,7502
Argosy University-The Art Institute of California-San Francisco,CA,33206,5719,37800,NULL,NULL,6334,1304
Loyola Marymount University,CA,55432,10098,55800,0.5412,1202,19500,6087
Lu Ross Academy,CA,NULL,NULL,NULL,NULL,NULL,7921,186
Manchester Beauty College,CA,NULL,NULL,13900,NULL,NULL,PrivacySuppressed,67
Tulare Beauty College,CA,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,36
Lyle's College of Beauty,CA,NULL,NULL,NULL,NULL,NULL,NULL,67
Lyle's College of  Beauty,CA,NULL,NULL,14200,NULL,NULL,3500,56
Lytles Redwood Empire Beauty College Inc,CA,NULL,NULL,21000,NULL,NULL,7601.5,126
MTI Business College Inc,CA,NULL,NULL,22100,NULL,NULL,8983.5,138
MTI College,CA,NULL,2405,32900,NULL,NULL,8741,997
Brightwood College-Sacramento,CA,NULL,5004,25000,NULL,NULL,9465,520
Brightwood College-San Diego,CA,NULL,6084,35500,NULL,NULL,9500,1335
Brightwood College-Vista,CA,NULL,4986,29500,NULL,NULL,9393,890
College of Marin,CA,13847,8301,35200,NULL,NULL,8000,5040
Marinello Schools of Beauty-Los Angeles,CA,NULL,NULL,15300,NULL,NULL,8787,2405
Marymount California University,CA,44406,7684,35900,NULL,NULL,11000,1033
Mendocino College,CA,14316,8180,24300,NULL,NULL,4750,3130
Menlo College,CA,51649,11564,46400,0.3705,1001,18312.5,742
Merced College,CA,9094,7996,26300,NULL,NULL,PrivacySuppressed,9163
Merritt College,CA,15651,7912,31400,NULL,NULL,6000,5435
Mills College,CA,54668,9759,39600,0.6798,1151,18006.5,974
MiraCosta College,CA,9338,11569,28600,NULL,NULL,3500,13846
Marinello Schools of Beauty-San Francisco,CA,NULL,NULL,28500,NULL,NULL,6411,616
Mission College,CA,13876,7663,33000,NULL,NULL,4500,7467
Modern Beauty Academy,CA,NULL,NULL,18800,NULL,NULL,5408.5,48
Brightwood College-Los Angeles-Van Nuys,CA,NULL,5629,36500,NULL,NULL,9338,786
Modesto Junior College,CA,12734,8437,27800,NULL,NULL,PrivacySuppressed,15904
Moler Barber College,CA,NULL,NULL,PrivacySuppressed,NULL,NULL,9500,76
Middlebury Institute of International Studies at Monterey,CA,NULL,9249,55600,NULL,NULL,14286,22
Monterey Peninsula College,CA,12092,8022,31300,NULL,NULL,4673.5,8781
Moorpark College,CA,8400,8027,35400,NULL,NULL,5001,13437
Mt San Antonio College,CA,9243,9013,33400,NULL,NULL,3584,25800
Mount Saint Mary's University,CA,47905,8055,52000,0.7409,928,19000,2617
Mt San Jacinto Community College District,CA,11952,8730,26700,NULL,NULL,4690,13324
Mueller College,CA,34305,NULL,PrivacySuppressed,NULL,NULL,11506,105
Musicians Institute,CA,39155,2961,27300,0.9888,NULL,6333,1166
Napa Valley College,CA,15178,7747,36700,NULL,NULL,5556,5707
Everest College-San Francisco,CA,NULL,NULL,28800,NULL,NULL,9500,267
Everest College-Reseda,CA,26658,4295,28300,NULL,NULL,9500,696
Everest College-LA Wilshire,CA,28767,4069,22100,NULL,NULL,9500,232
Everest College-San Jose,CA,NULL,NULL,31000,NULL,NULL,9500,172
Everest College-Gardena,CA,NULL,NULL,24400,NULL,NULL,9500,494
Everest College-Alhambra,CA,NULL,NULL,26000,NULL,NULL,9500,561
Everest College-San Bernardino,CA,30116,4361,22100,NULL,NULL,9500,747
The National Hispanic University,CA,22545,5756,34700,NULL,NULL,9500,434
National Holistic Institute,CA,NULL,NULL,27100,NULL,NULL,9466,764
National University,CA,23859,9703,58300,NULL,NULL,11000,9788
Naval Postgraduate School,CA,NULL,12839,NULL,NULL,NULL,NULL,NULL
Newschool of Architecture and Design,CA,43957,7034,PrivacySuppressed,0.7949,NULL,15500,375
Newberry School of Beauty,CA,NULL,NULL,20200,NULL,NULL,4409,153
North Adrian's College of Beauty Inc,CA,NULL,NULL,18700,NULL,NULL,9500,275
North-West College-Pomona,CA,NULL,NULL,23900,1,NULL,7830,280
North-West College-West Covina,CA,NULL,NULL,27700,1,NULL,7024,550
North-West College-Van Nuys,CA,NULL,NULL,20600,1,NULL,7530,193
Notre Dame de Namur University,CA,47115,8084,54400,0.872,972,15125,1209
Occidental College,CA,60655,10402,49700,0.4239,1303,20400,2028
Oceanside College of Beauty,CA,NULL,NULL,PrivacySuppressed,NULL,NULL,6913,70
Ohlone College,CA,16039,9993,40000,NULL,NULL,5625,9184
Orange Coast College,CA,16053,9617,36300,NULL,NULL,3750,20521
Otis College of Art and Design,CA,52397,6936,44100,0.4628,1002,25000,1029
Oxnard College,CA,9496,8189,30100,NULL,NULL,PrivacySuppressed,6450
Hope International University,CA,40303,5232,35800,0.4681,951,13681,872
Concorde Career College-San Diego,CA,NULL,4774,28500,1,NULL,9500,895
Palo Alto University,CA,NULL,10628,PrivacySuppressed,NULL,NULL,15901.5,191
Pacific Lutheran Theological Seminary,CA,NULL,6017,NULL,NULL,NULL,PrivacySuppressed,NULL
Pacific Oaks College,CA,NULL,6920,43100,NULL,NULL,18000,415
Pacific School of Religion,CA,NULL,7792,NULL,NULL,NULL,PrivacySuppressed,NULL
Pacific States University,CA,32140,3500,PrivacySuppressed,NULL,NULL,PrivacySuppressed,14
Pacific Union College,CA,38800,6452,50200,0.5055,1017,18133.5,1601
University of the Pacific,CA,52406,10089,69300,0.7265,1172,21000,3869
Palo Verde College,CA,12973,7584,24300,NULL,NULL,PrivacySuppressed,2946
Palomar College,CA,11077,9256,33900,NULL,NULL,4500,22535
Paris Beauty College,CA,NULL,NULL,PrivacySuppressed,NULL,NULL,PrivacySuppressed,99
Pasadena City College,CA,11751,8402,32700,NULL,NULL,4500,23437
Pepperdine University,CA,58772,11650,61100,0.3734,1235,23057,3516
Pitzer College,CA,59266,10084,47100,0.1451,NULL,14500,1081
Platt College-San Diego,CA,40468,4701,29400,NULL,NULL,20313,369
Point Loma Nazarene University,CA,43060,9653,49100,0.6654,1155,17500,2543
Pomona College,CA,57014,12326,56600,0.1392,1454,7513,1587
Porterville College,CA,9019,8628,25900,NULL,NULL,PrivacySuppressed,3339
Westwood College-South Bay,CA,29458,4413,28100,NULL,NULL,13152,571
Professional Institute of Beauty,CA,NULL,NULL,13500,NULL,NULL,3081,108
Santa Ana College,CA,8398,9702,32600,NULL,NULL,4500,28510
Pardee RAND Graduate School,CA,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,NULL
Shasta School of Cosmetology,CA,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,71
University of Redlands,CA,55268,9234,52100,0.672,1135,20000,3462
College of the Redwoods,CA,11166,8265,26400,NULL,NULL,4500,2585
Salon Success Academy-Upland,CA,NULL,NULL,PrivacySuppressed,NULL,NULL,7650,228
Salon Success Academy-Corona,CA,NULL,NULL,PrivacySuppressed,NULL,NULL,9798,129
Rio Hondo College,CA,10894,9146,33300,NULL,NULL,4500,14709
Riverside City College,CA,12403,9492,30500,NULL,NULL,3962,16243
Argosy University-San Francisco Bay Area,CA,27325,5718,37800,NULL,NULL,6334,168
Rosemead Beauty School,CA,NULL,NULL,11100,NULL,NULL,PrivacySuppressed,210
Dongguk University-Los Angeles,CA,NULL,3983,PrivacySuppressed,NULL,NULL,PrivacySuppressed,9
Sacramento City College,CA,12334,8009,33100,NULL,NULL,5000,21765
Saddleback College,CA,14954,8591,36200,NULL,NULL,4500,19229
Saint Patrick's Seminary and University,CA,NULL,3964,NULL,NULL,NULL,NULL,3
Samuel Merritt University,CA,NULL,10156,106700,NULL,NULL,18750,506
San Diego City College,CA,12291,5435,27400,NULL,NULL,3500,14054
Golf Academy of America-San Diego,CA,26489,3764,24400,NULL,NULL,9500,230
San Diego Mesa College,CA,12796,6109,35800,NULL,NULL,3500,21314
San Diego Miramar College,CA,11969,4584,36900,NULL,NULL,3500,10709
San Diego State University,CA,20252,9229,48300,0.3121,1090,12499,26625
University of San Diego,CA,56346,11648,59300,0.4885,1228,18750,5573
San Francisco Art Institute,CA,55809,8172,32400,0.8269,1061,12500,468
San Francisco Conservatory of Music,CA,52260,10278,25400,0.3986,NULL,22250,172
San Francisco State University,CA,22267,9147,48000,0.6379,998,13290,25271
San Francisco Theological Seminary,CA,NULL,7180,NULL,NULL,NULL,PrivacySuppressed,NULL
University of San Francisco,CA,55812,12409,59900,0.6129,1161,21930,6308
San Joaquin College of Law,CA,NULL,7558,NULL,NULL,NULL,PrivacySuppressed,NULL
San Joaquin Delta College,CA,14951,9395,29700,NULL,NULL,3535,15393
San Joaquin Valley College-Visalia,CA,26654,5371,27100,NULL,NULL,12997.5,1616
San Joaquin Valley College-Bakersfield,CA,22188,4414,27100,NULL,NULL,12997.5,642
William Jessup University,CA,34811,7043,35200,0.6929,1039,14738,1029
San Jose City College,CA,15067,10298,28000,NULL,NULL,4500,7960
San Jose State University,CA,21160,9155,53700,0.6347,1030,11914,25723
College of San Mateo,CA,11925,8957,38700,NULL,NULL,3505,8378
Santa Barbara Business College-Bakersfield,CA,23144,3432,22800,NULL,NULL,16554,543
Westwood College-Los Angeles,CA,29745,4590,29800,NULL,NULL,11280,2106
Santa Barbara Business College-Santa Maria,CA,21409,4557,27800,NULL,NULL,11666,188
Santa Barbara City College,CA,15367,5798,34600,NULL,NULL,5500,16042
Santa Clara University,CA,57213,11662,69600,0.5122,1294,19500,5404
Santa Monica College,CA,12202,9704,32500,NULL,NULL,4500,27747
Santa Rosa Junior College,CA,12722,8233,34600,NULL,NULL,4500,19533
Saybrook University,CA,NULL,7037,NULL,NULL,NULL,PrivacySuppressed,NULL
Scripps College,CA,58888,10598,49700,0.357,1364,12500,980
Wyotech-Fremont,CA,NULL,5077,39900,NULL,NULL,9500,1199
College of the Sequoias,CA,7604,8340,26100,NULL,NULL,2502,9747
Shasta Bible College and Graduate School,CA,24984,1840,PrivacySuppressed,1,NULL,PrivacySuppressed,45
Shasta College,CA,10866,7951,26000,NULL,NULL,4891,7358
Sierra College,CA,13157,7123,28800,NULL,NULL,5500,17195
Sierra College of Beauty,CA,NULL,NULL,13700,NULL,NULL,PrivacySuppressed,181
Sierra Valley College of Court Reporting,CA,25046,NULL,26800,NULL,NULL,18171,137
Trinity Law School,CA,NULL,8396,41000,NULL,NULL,7000,NULL
Simpson University,CA,33889,6144,32800,0.555,1030,13899,1024
College of the Siskiyous,CA,13115,7380,26100,NULL,NULL,6500,2168
Charles A Jones Career and Education Center,CA,NULL,NULL,26100,NULL,NULL,5500,1032
Skyline College,CA,9784,8334,39100,NULL,NULL,4500,8859
San Bernardino Valley College,CA,12483,3212,27000,NULL,NULL,3500,11057
Saint Mary's College of California,CA,56500,9229,56600,0.6947,1115,19500,3039
Solano Community College,CA,12671,7930,32700,NULL,NULL,4964,8341
Sonoma State University,CA,23675,8448,45000,0.8186,1006,12947,8321
Pinnacle College,CA,NULL,4301,PrivacySuppressed,NULL,NULL,8223.5,147
South Baylo University,CA,NULL,NULL,22400,NULL,NULL,8500,125
South Coast College,CA,NULL,3931,34200,NULL,NULL,17593,374
Vanguard University of Southern California,CA,41952,7714,36800,0.6977,980,16667,2057
Concorde Career College-Garden Grove,CA,NULL,5439,36900,1,NULL,9500,898
Southwestern College,CA,10665,8792,30400,NULL,NULL,3500,17611
St John's Seminary,CA,NULL,3674,NULL,NULL,NULL,NULL,NULL
Starr King School for the Ministry,CA,NULL,8439,NULL,NULL,NULL,PrivacySuppressed,NULL
Marshall B Ketchum University,CA,NULL,8463,80400,NULL,NULL,PrivacySuppressed,NULL
Southern California Institute of Architecture,CA,50373,9878,44400,0.8667,1137,37500,237
University of Southern California,CA,59787,13045,70400,0.1984,1380,22000,18087
Southwestern Law School,CA,NULL,14404,80000,NULL,NULL,6000,NULL
Taft College,CA,11975,8701,33600,NULL,NULL,PrivacySuppressed,5047
Claremont School of Theology,CA,NULL,7009,PrivacySuppressed,NULL,NULL,PrivacySuppressed,NULL
Thomas Aquinas College,CA,35056,9253,40100,0.7921,1243,15500,366
Marinello Schools of Beauty-Lake Forest,CA,NULL,NULL,PrivacySuppressed,NULL,NULL,7663,568
Epic Bible College,CA,24692,2056,28100,0.79,NULL,7767,268
United Education Institute-Huntington Park Campus,CA,NULL,4246,24300,NULL,NULL,9500,2732
Concorde Career College-San Bernardino,CA,NULL,5606,27400,1,NULL,9500,753
Universal College of Beauty Inc-Los Angeles 1,CA,NULL,NULL,14500,NULL,NULL,PrivacySuppressed,33
Concorde Career College-North Hollywood,CA,NULL,3639,39300,1,NULL,9500,925
Ventura College,CA,8782,7987,32500,NULL,NULL,5250,11784
Victor Valley Beauty College Inc,CA,NULL,NULL,12500,NULL,NULL,6002,105
Victor Valley College,CA,13359,8998,26200,NULL,NULL,6000,9981
Berkeley City College,CA,12466,7247,31000,NULL,NULL,4750,6036
Walden University,MN,NULL,6588,58900,NULL,NULL,7872,8064
Waynes College of Beauty,CA,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed,42
West Hills College-Coalinga,CA,13472,8658,26500,NULL,NULL,4750,2793
West Los Angeles College,CA,13313,6841,29900,NULL,NULL,4750,9464
West Valley College,CA,14627,7828,34900,NULL,NULL,3500,8470
Carrington College-Sacramento,CA,NULL,5872,29000,0.521,NULL,11771,1267
Westminster Theological Seminary in California,CA,NULL,7182,NULL,NULL,NULL,PrivacySuppressed,NULL
Westmont College,CA,51760,9329,49200,0.7016,1193,19500,1295
Whittier College,CA,49920,8954,43100,0.6325,1043,20687.5,1651
Woodbury University,CA,42465,9365,46100,0.5575,987,25000,1353
The Wright Institute,CA,NULL,8210,PrivacySuppressed,NULL,NULL,PrivacySuppressed,NULL
Western State College of Law at Argosy University,CA,NULL,8345,37800,NULL,NULL,6334,NULL
Thomas Jefferson School of Law,CA,NULL,14184,PrivacySuppressed,NULL,NULL,PrivacySuppressed,NULL
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,CA,23850,5821,PrivacySuppressed,1,NULL,PrivacySuppressed,131
Yuba College,CA,12017,7946,27900,NULL,NULL,4500,6345
The Salon Professional Academy-Grand Junction,CO,NULL,NULL,PrivacySuppressed,NULL,NULL,8915,90
Adams State University,CO,17759,5986,34200,0.526,939,8500,2227
Aims Community College,CO,13308,6079,33000,NULL,NULL,4343,3852
Arapahoe Community College,CO,13086,4531,35700,NULL,NULL,4190.5,8920
Bel-Rea Institute of Animal Technology,CO,24078,3988,30200,0.6754,NULL,18686,576
Altierus Career College-Colorado Springs,CO,25950,2953,24000,NULL,NULL,9500,389
University of Colorado Denver/Anschutz Medical Campus,CO,18822,9364,53700,0.7587,1073,12512,10470
University of Colorado Colorado Springs,CO,16707,7285,41100,0.91,1068,9966,8888
Spartan College of Aeronautics and Technology,CO,25485,3632,48000,NULL,NULL,15696,630
University of Colorado Boulder,CO,27854,10298,48100,0.8771,1192,12588,25461
Colorado Christian University,CO,36956,5817,36900,0.9764,NULL,6911,3614
Colorado College,CO,54200,10886,41900,0.2228,1323,16000,2025
Concorde Career College-Aurora,CO,NULL,4245,29400,1,NULL,9500,847
The Art Institute of Colorado,CO,30664,4988,32000,NULL,NULL,9950,1794
Colorado Mountain College,CO,14430,7959,30000,NULL,NULL,4900,3559
Colorado Northwestern Community College,CO,15455,4769,34100,NULL,NULL,7000,649
Colorado School of Mines,CO,29091,10579,82100,0.3743,1298,21158,4197
Colorado School of Trades,CO,NULL,3613,34100,NULL,NULL,17240,182
Colorado State University-Fort Collins,CO,21823,8869,45000,0.7743,1127,14950,22482
Colorado Technical University-Colorado Springs,CO,23475,6775,49000,NULL,NULL,6334,1200
Empire Beauty School-Lakewood,CO,NULL,NULL,20600,NULL,NULL,5000,62
Community College of Aurora,CO,18099,5863,33100,NULL,NULL,4750,5694
CollegeAmerica-Denver,CO,22306,4524,24800,NULL,NULL,15276,190
Technical College of the Rockies,CO,NULL,NULL,33200,NULL,NULL,5200,262
Prince Institute-Rocky Mountains,CO,18456,3469,PrivacySuppressed,NULL,NULL,10454,34
Community College of Denver,CO,13908,4196,30500,NULL,NULL,5650.5,8003
Lincoln College of Technology-Denver,CO,NULL,3754,33800,NULL,NULL,10500,1262
Denver Seminary,CO,NULL,5762,NULL,NULL,NULL,PrivacySuppressed,NULL
Westwood College-Denver North,CO,24309,4845,35000,NULL,NULL,19667.5,438
University of Denver,CO,53614,9737,53800,0.7673,1231,18500,5505
Emily Griffith Technical College,CO,NULL,NULL,23600,NULL,NULL,PrivacySuppressed,2802
Fort Lewis College,CO,19565,7028,34300,0.875,1049,9127.5,3859
Front Range Community College,CO,14433,6011,34000,NULL,NULL,5500,16297
