INSTNM,DEBT_MDN,COSTT4_A,ADM_RATE,SAT_AVG,UGDS,AVGFACSAL,MD_EARN_WNE_P10
Life Pacific College,13000,24492,0.7482,930,475,6394,28700
Argosy University-The Art Institute of California-San Diego,6334,30521,NULL,NULL,1869,5638,37800
University of La Verne,16750,45305,0.3895,1035,5128,8605,48900
Laguna College of Art and Design,19000,39713,0.4327,NULL,514,7782,31000
Lake Tahoe Community College,PrivacySuppressed,10124,NULL,NULL,2155,7726,25000
Lancaster Beauty School,6333,NULL,NULL,NULL,93,NULL,15100
Laney College,5500,14398,NULL,NULL,10140,7334,27400
Lassen Community College,5469.5,13925,NULL,NULL,2290,6753,25800
Life Chiropractic College West,PrivacySuppressed,NULL,NULL,NULL,NULL,5416,NULL
Lincoln University,4853,20725,NULL,NULL,97,3325,PrivacySuppressed
Southern California Seminary,10100,NULL,NULL,NULL,68,3463,PrivacySuppressed
La Sierra University,10999.5,39842,0.4677,926,2060,7230,45100
Loma Linda University,15000,NULL,NULL,NULL,1101,7250,79100
Long Beach City College,4500,10615,NULL,NULL,22475,7349,28500
Southern California University of Health Sciences,7500,NULL,NULL,NULL,0,5620,PrivacySuppressed
Los Angeles Harbor College,3500,13977,NULL,NULL,8719,6762,31500
Los Angeles Pierce College,6000,14213,NULL,NULL,17528,7139,33000
Los Angeles Southwest College,2250,11945,NULL,NULL,6129,5984,24500
Los Angeles Trade Technical College,3500,11030,NULL,NULL,12033,7351,27800
Los Angeles Valley College,4750,13341,NULL,NULL,16111,7552,30500
The Master's University and Seminary,14000,40815,0.6137,1104,1112,7063,38600
Los Angeles City College,4937.5,11090,NULL,NULL,16485,6981,26900
Los Angeles County College of Nursing and Allied Health,10500,NULL,NULL,NULL,182,8958,85100
Los Angeles Mission College,5662,13281,NULL,NULL,7931,6048,28900
Los Medanos College,3750,14140,NULL,NULL,7502,6823,32800
Argosy University-The Art Institute of California-San Francisco,6334,33206,NULL,NULL,1304,5719,37800
Loyola Marymount University,19500,55432,0.5412,1202,6087,10098,55800
Lu Ross Academy,7921,NULL,NULL,NULL,186,NULL,NULL
Manchester Beauty College,PrivacySuppressed,NULL,NULL,NULL,67,NULL,13900
Tulare Beauty College,PrivacySuppressed,NULL,NULL,NULL,36,NULL,PrivacySuppressed
Lyle's College of Beauty,NULL,NULL,NULL,NULL,67,NULL,NULL
Lyle's College of  Beauty,3500,NULL,NULL,NULL,56,NULL,14200
Lytles Redwood Empire Beauty College Inc,7601.5,NULL,NULL,NULL,126,NULL,21000
MTI Business College Inc,8983.5,NULL,NULL,NULL,138,NULL,22100
MTI College,8741,NULL,NULL,NULL,997,2405,32900
Brightwood College-Sacramento,9465,NULL,NULL,NULL,520,5004,25000
Brightwood College-San Diego,9500,NULL,NULL,NULL,1335,6084,35500
Brightwood College-Vista,9393,NULL,NULL,NULL,890,4986,29500
College of Marin,8000,13847,NULL,NULL,5040,8301,35200
Marinello Schools of Beauty-Los Angeles,8787,NULL,NULL,NULL,2405,NULL,15300
Marymount California University,11000,44406,NULL,NULL,1033,7684,35900
Mendocino College,4750,14316,NULL,NULL,3130,8180,24300
Menlo College,18312.5,51649,0.3705,1001,742,11564,46400
Merced College,PrivacySuppressed,9094,NULL,NULL,9163,7996,26300
Merritt College,6000,15651,NULL,NULL,5435,7912,31400
Mills College,18006.5,54668,0.6798,1151,974,9759,39600
MiraCosta College,3500,9338,NULL,NULL,13846,11569,28600
Marinello Schools of Beauty-San Francisco,6411,NULL,NULL,NULL,616,NULL,28500
Mission College,4500,13876,NULL,NULL,7467,7663,33000
Modern Beauty Academy,5408.5,NULL,NULL,NULL,48,NULL,18800
Brightwood College-Los Angeles-Van Nuys,9338,NULL,NULL,NULL,786,5629,36500
Modesto Junior College,PrivacySuppressed,12734,NULL,NULL,15904,8437,27800
Moler Barber College,9500,NULL,NULL,NULL,76,NULL,PrivacySuppressed
Middlebury Institute of International Studies at Monterey,14286,NULL,NULL,NULL,22,9249,55600
Monterey Peninsula College,4673.5,12092,NULL,NULL,8781,8022,31300
Moorpark College,5001,8400,NULL,NULL,13437,8027,35400
Mt San Antonio College,3584,9243,NULL,NULL,25800,9013,33400
Mount Saint Mary's University,19000,47905,0.7409,928,2617,8055,52000
Mt San Jacinto Community College District,4690,11952,NULL,NULL,13324,8730,26700
Mueller College,11506,34305,NULL,NULL,105,NULL,PrivacySuppressed
Musicians Institute,6333,39155,0.9888,NULL,1166,2961,27300
Napa Valley College,5556,15178,NULL,NULL,5707,7747,36700
Everest College-San Francisco,9500,NULL,NULL,NULL,267,NULL,28800
Everest College-Reseda,9500,26658,NULL,NULL,696,4295,28300
Everest College-LA Wilshire,9500,28767,NULL,NULL,232,4069,22100
Everest College-San Jose,9500,NULL,NULL,NULL,172,NULL,31000
Everest College-Gardena,9500,NULL,NULL,NULL,494,NULL,24400
Everest College-Alhambra,9500,NULL,NULL,NULL,561,NULL,26000
Everest College-San Bernardino,9500,30116,NULL,NULL,747,4361,22100
The National Hispanic University,9500,22545,NULL,NULL,434,5756,34700
National Holistic Institute,9466,NULL,NULL,NULL,764,NULL,27100
National University,11000,23859,NULL,NULL,9788,9703,58300
Naval Postgraduate School,NULL,NULL,NULL,NULL,NULL,12839,NULL
Newschool of Architecture and Design,15500,43957,0.7949,NULL,375,7034,PrivacySuppressed
Newberry School of Beauty,4409,NULL,NULL,NULL,153,NULL,20200
North Adrian's College of Beauty Inc,9500,NULL,NULL,NULL,275,NULL,18700
North-West College-Pomona,7830,NULL,1,NULL,280,NULL,23900
North-West College-West Covina,7024,NULL,1,NULL,550,NULL,27700
North-West College-Van Nuys,7530,NULL,1,NULL,193,NULL,20600
Notre Dame de Namur University,15125,47115,0.872,972,1209,8084,54400
Occidental College,20400,60655,0.4239,1303,2028,10402,49700
Oceanside College of Beauty,6913,NULL,NULL,NULL,70,NULL,PrivacySuppressed
Ohlone College,5625,16039,NULL,NULL,9184,9993,40000
Orange Coast College,3750,16053,NULL,NULL,20521,9617,36300
Otis College of Art and Design,25000,52397,0.4628,1002,1029,6936,44100
Oxnard College,PrivacySuppressed,9496,NULL,NULL,6450,8189,30100
Hope International University,13681,40303,0.4681,951,872,5232,35800
Concorde Career College-San Diego,9500,NULL,1,NULL,895,4774,28500
Palo Alto University,15901.5,NULL,NULL,NULL,191,10628,PrivacySuppressed
Pacific Lutheran Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,6017,NULL
Pacific Oaks College,18000,NULL,NULL,NULL,415,6920,43100
Pacific School of Religion,PrivacySuppressed,NULL,NULL,NULL,NULL,7792,NULL
Pacific States University,PrivacySuppressed,32140,NULL,NULL,14,3500,PrivacySuppressed
Pacific Union College,18133.5,38800,0.5055,1017,1601,6452,50200
University of the Pacific,21000,52406,0.7265,1172,3869,10089,69300
Palo Verde College,PrivacySuppressed,12973,NULL,NULL,2946,7584,24300
Palomar College,4500,11077,NULL,NULL,22535,9256,33900
Paris Beauty College,PrivacySuppressed,NULL,NULL,NULL,99,NULL,PrivacySuppressed
Pasadena City College,4500,11751,NULL,NULL,23437,8402,32700
Pepperdine University,23057,58772,0.3734,1235,3516,11650,61100
Pitzer College,14500,59266,0.1451,NULL,1081,10084,47100
Platt College-San Diego,20313,40468,NULL,NULL,369,4701,29400
Point Loma Nazarene University,17500,43060,0.6654,1155,2543,9653,49100
Pomona College,7513,57014,0.1392,1454,1587,12326,56600
Porterville College,PrivacySuppressed,9019,NULL,NULL,3339,8628,25900
Westwood College-South Bay,13152,29458,NULL,NULL,571,4413,28100
Professional Institute of Beauty,3081,NULL,NULL,NULL,108,NULL,13500
Santa Ana College,4500,8398,NULL,NULL,28510,9702,32600
Pardee RAND Graduate School,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL
Shasta School of Cosmetology,PrivacySuppressed,NULL,NULL,NULL,71,NULL,NULL
University of Redlands,20000,55268,0.672,1135,3462,9234,52100
College of the Redwoods,4500,11166,NULL,NULL,2585,8265,26400
Salon Success Academy-Upland,7650,NULL,NULL,NULL,228,NULL,PrivacySuppressed
Salon Success Academy-Corona,9798,NULL,NULL,NULL,129,NULL,PrivacySuppressed
Rio Hondo College,4500,10894,NULL,NULL,14709,9146,33300
Riverside City College,3962,12403,NULL,NULL,16243,9492,30500
Argosy University-San Francisco Bay Area,6334,27325,NULL,NULL,168,5718,37800
Rosemead Beauty School,PrivacySuppressed,NULL,NULL,NULL,210,NULL,11100
Dongguk University-Los Angeles,PrivacySuppressed,NULL,NULL,NULL,9,3983,PrivacySuppressed
Sacramento City College,5000,12334,NULL,NULL,21765,8009,33100
Saddleback College,4500,14954,NULL,NULL,19229,8591,36200
Saint Patrick's Seminary and University,NULL,NULL,NULL,NULL,3,3964,NULL
Samuel Merritt University,18750,NULL,NULL,NULL,506,10156,106700
San Diego City College,3500,12291,NULL,NULL,14054,5435,27400
Golf Academy of America-San Diego,9500,26489,NULL,NULL,230,3764,24400
San Diego Mesa College,3500,12796,NULL,NULL,21314,6109,35800
San Diego Miramar College,3500,11969,NULL,NULL,10709,4584,36900
San Diego State University,12499,20252,0.3121,1090,26625,9229,48300
University of San Diego,18750,56346,0.4885,1228,5573,11648,59300
San Francisco Art Institute,12500,55809,0.8269,1061,468,8172,32400
San Francisco Conservatory of Music,22250,52260,0.3986,NULL,172,10278,25400
San Francisco State University,13290,22267,0.6379,998,25271,9147,48000
San Francisco Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,7180,NULL
University of San Francisco,21930,55812,0.6129,1161,6308,12409,59900
San Joaquin College of Law,PrivacySuppressed,NULL,NULL,NULL,NULL,7558,NULL
San Joaquin Delta College,3535,14951,NULL,NULL,15393,9395,29700
San Joaquin Valley College-Visalia,12997.5,26654,NULL,NULL,1616,5371,27100
San Joaquin Valley College-Bakersfield,12997.5,22188,NULL,NULL,642,4414,27100
William Jessup University,14738,34811,0.6929,1039,1029,7043,35200
San Jose City College,4500,15067,NULL,NULL,7960,10298,28000
San Jose State University,11914,21160,0.6347,1030,25723,9155,53700
College of San Mateo,3505,11925,NULL,NULL,8378,8957,38700
Santa Barbara Business College-Bakersfield,16554,23144,NULL,NULL,543,3432,22800
Westwood College-Los Angeles,11280,29745,NULL,NULL,2106,4590,29800
Santa Barbara Business College-Santa Maria,11666,21409,NULL,NULL,188,4557,27800
Santa Barbara City College,5500,15367,NULL,NULL,16042,5798,34600
Santa Clara University,19500,57213,0.5122,1294,5404,11662,69600
Santa Monica College,4500,12202,NULL,NULL,27747,9704,32500
Santa Rosa Junior College,4500,12722,NULL,NULL,19533,8233,34600
Saybrook University,PrivacySuppressed,NULL,NULL,NULL,NULL,7037,NULL
Scripps College,12500,58888,0.357,1364,980,10598,49700
Wyotech-Fremont,9500,NULL,NULL,NULL,1199,5077,39900
College of the Sequoias,2502,7604,NULL,NULL,9747,8340,26100
Shasta Bible College and Graduate School,PrivacySuppressed,24984,1,NULL,45,1840,PrivacySuppressed
Shasta College,4891,10866,NULL,NULL,7358,7951,26000
Sierra College,5500,13157,NULL,NULL,17195,7123,28800
Sierra College of Beauty,PrivacySuppressed,NULL,NULL,NULL,181,NULL,13700
Sierra Valley College of Court Reporting,18171,25046,NULL,NULL,137,NULL,26800
Trinity Law School,7000,NULL,NULL,NULL,NULL,8396,41000
Simpson University,13899,33889,0.555,1030,1024,6144,32800
College of the Siskiyous,6500,13115,NULL,NULL,2168,7380,26100
Charles A Jones Career and Education Center,5500,NULL,NULL,NULL,1032,NULL,26100
Skyline College,4500,9784,NULL,NULL,8859,8334,39100
San Bernardino Valley College,3500,12483,NULL,NULL,11057,3212,27000
Saint Mary's College of California,19500,56500,0.6947,1115,3039,9229,56600
Solano Community College,4964,12671,NULL,NULL,8341,7930,32700
Sonoma State University,12947,23675,0.8186,1006,8321,8448,45000
Pinnacle College,8223.5,NULL,NULL,NULL,147,4301,PrivacySuppressed
South Baylo University,8500,NULL,NULL,NULL,125,NULL,22400
South Coast College,17593,NULL,NULL,NULL,374,3931,34200
Vanguard University of Southern California,16667,41952,0.6977,980,2057,7714,36800
Concorde Career College-Garden Grove,9500,NULL,1,NULL,898,5439,36900
Southwestern College,3500,10665,NULL,NULL,17611,8792,30400
St John's Seminary,NULL,NULL,NULL,NULL,NULL,3674,NULL
Starr King School for the Ministry,PrivacySuppressed,NULL,NULL,NULL,NULL,8439,NULL
Marshall B Ketchum University,PrivacySuppressed,NULL,NULL,NULL,NULL,8463,80400
Southern California Institute of Architecture,37500,50373,0.8667,1137,237,9878,44400
University of Southern California,22000,59787,0.1984,1380,18087,13045,70400
Southwestern Law School,6000,NULL,NULL,NULL,NULL,14404,80000
Taft College,PrivacySuppressed,11975,NULL,NULL,5047,8701,33600
Claremont School of Theology,PrivacySuppressed,NULL,NULL,NULL,NULL,7009,PrivacySuppressed
Thomas Aquinas College,15500,35056,0.7921,1243,366,9253,40100
Marinello Schools of Beauty-Lake Forest,7663,NULL,NULL,NULL,568,NULL,PrivacySuppressed
Epic Bible College,7767,24692,0.79,NULL,268,2056,28100
United Education Institute-Huntington Park Campus,9500,NULL,NULL,NULL,2732,4246,24300
Concorde Career College-San Bernardino,9500,NULL,1,NULL,753,5606,27400
Universal College of Beauty Inc-Los Angeles 1,PrivacySuppressed,NULL,NULL,NULL,33,NULL,14500
Concorde Career College-North Hollywood,9500,NULL,1,NULL,925,3639,39300
Ventura College,5250,8782,NULL,NULL,11784,7987,32500
Victor Valley Beauty College Inc,6002,NULL,NULL,NULL,105,NULL,12500
Victor Valley College,6000,13359,NULL,NULL,9981,8998,26200
Berkeley City College,4750,12466,NULL,NULL,6036,7247,31000
Walden University,7872,NULL,NULL,NULL,8064,6588,58900
Waynes College of Beauty,PrivacySuppressed,NULL,NULL,NULL,42,NULL,NULL
West Hills College-Coalinga,4750,13472,NULL,NULL,2793,8658,26500
West Los Angeles College,4750,13313,NULL,NULL,9464,6841,29900
West Valley College,3500,14627,NULL,NULL,8470,7828,34900
Carrington College-Sacramento,11771,NULL,0.521,NULL,1267,5872,29000
Westminster Theological Seminary in California,PrivacySuppressed,NULL,NULL,NULL,NULL,7182,NULL
Westmont College,19500,51760,0.7016,1193,1295,9329,49200
Whittier College,20687.5,49920,0.6325,1043,1651,8954,43100
Woodbury University,25000,42465,0.5575,987,1353,9365,46100
The Wright Institute,PrivacySuppressed,NULL,NULL,NULL,NULL,8210,PrivacySuppressed
Western State College of Law at Argosy University,6334,NULL,NULL,NULL,NULL,8345,37800
Thomas Jefferson School of Law,PrivacySuppressed,NULL,NULL,NULL,NULL,14184,PrivacySuppressed
Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary,PrivacySuppressed,23850,1,NULL,131,5821,PrivacySuppressed
Yuba College,4500,12017,NULL,NULL,6345,7946,27900
The Salon Professional Academy-Grand Junction,8915,NULL,NULL,NULL,90,NULL,PrivacySuppressed
Adams State University,8500,17759,0.526,939,2227,5986,34200
Aims Community College,4343,13308,NULL,NULL,3852,6079,33000
Arapahoe Community College,4190.5,13086,NULL,NULL,8920,4531,35700
Bel-Rea Institute of Animal Technology,18686,24078,0.6754,NULL,576,3988,30200
Altierus Career College-Colorado Springs,9500,25950,NULL,NULL,389,2953,24000
University of Colorado Denver/Anschutz Medical Campus,12512,18822,0.7587,1073,10470,9364,53700
University of Colorado Colorado Springs,9966,16707,0.91,1068,8888,7285,41100
Spartan College of Aeronautics and Technology,15696,25485,NULL,NULL,630,3632,48000
University of Colorado Boulder,12588,27854,0.8771,1192,25461,10298,48100
Colorado Christian University,6911,36956,0.9764,NULL,3614,5817,36900
Colorado College,16000,54200,0.2228,1323,2025,10886,41900
Concorde Career College-Aurora,9500,NULL,1,NULL,847,4245,29400
The Art Institute of Colorado,9950,30664,NULL,NULL,1794,4988,32000
Colorado Mountain College,4900,14430,NULL,NULL,3559,7959,30000
Colorado Northwestern Community College,7000,15455,NULL,NULL,649,4769,34100
Colorado School of Mines,21158,29091,0.3743,1298,4197,10579,82100
Colorado School of Trades,17240,NULL,NULL,NULL,182,3613,34100
Colorado State University-Fort Collins,14950,21823,0.7743,1127,22482,8869,45000
Colorado Technical University-Colorado Springs,6334,23475,NULL,NULL,1200,6775,49000
Empire Beauty School-Lakewood,5000,NULL,NULL,NULL,62,NULL,20600
Community College of Aurora,4750,18099,NULL,NULL,5694,5863,33100
CollegeAmerica-Denver,15276,22306,NULL,NULL,190,4524,24800
Technical College of the Rockies,5200,NULL,NULL,NULL,262,NULL,33200
Prince Institute-Rocky Mountains,10454,18456,NULL,NULL,34,3469,PrivacySuppressed
Community College of Denver,5650.5,13908,NULL,NULL,8003,4196,30500
Lincoln College of Technology-Denver,10500,NULL,NULL,NULL,1262,3754,33800
Denver Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,5762,NULL
Westwood College-Denver North,19667.5,24309,NULL,NULL,438,4845,35000
University of Denver,18500,53614,0.7673,1231,5505,9737,53800
Emily Griffith Technical College,PrivacySuppressed,NULL,NULL,NULL,2802,NULL,23600
Fort Lewis College,9127.5,19565,0.875,1049,3859,7028,34300
Front Range Community College,5500,14433,NULL,NULL,16297,6011,34000
Glenwood Beauty Academy,7029,NULL,NULL,NULL,53,NULL,19100
Hair Dynamics Education Center,8750,NULL,NULL,NULL,174,NULL,17900
Iliff School of Theology,6000,NULL,NULL,NULL,NULL,6575,PrivacySuppressed
International Salon and Spa Academy,6333,NULL,NULL,NULL,205,NULL,17800
Lamar Community College,6000,15591,NULL,NULL,538,4624,27100
Colorado Mesa University,8250,18077,0.8212,972,8733,6428,35400
Metropolitan State University of Denver,10000,14034,0.7116,973,21696,7141,38400
Morgan Community College,4587.5,16058,NULL,NULL,937,5513,28200
Naropa University,14600,42575,0.7975,NULL,380,6373,21400
National American University-Colorado Springs,6976,NULL,NULL,NULL,281,3124,34800
National American University-Denver,6976,NULL,NULL,NULL,258,6289,34800
Nazarene Bible College,8803,25950,NULL,NULL,889,5144,29300
Northeastern Junior College,5500,15982,NULL,NULL,1257,5021,31500
University of Northern Colorado,12500,19105,0.6957,1029,9525,7487,40200
Otero Junior College,5500,16404,NULL,NULL,1011,5007,27300
Altierus Career College-Thornton,9500,25134,NULL,NULL,371,3155,26800
Pikes Peak Community College,4500,14717,NULL,NULL,12747,5588,30600
IBMC College,12195.5,NULL,NULL,NULL,339,2893,25800
Pueblo Community College,5250,14679,NULL,NULL,4922,5533,27300
Red Rocks Community College,5500,14046,NULL,NULL,8224,5639,34800
Regis University,13602,43058,0.9234,1111,4930,6700,51700
Rocky Mountain College of Art and Design,9500,39272,NULL,NULL,722,4809,28200
Montessori Education Center of the Rockies,9500,NULL,1,NULL,11,NULL,PrivacySuppressed
Colorado State University-Pueblo,9645,18007,0.9434,967,4375,6619,36000
Pickens Technical College,PrivacySuppressed,13453,NULL,NULL,1184,NULL,30300
Intellitec College-Colorado Springs,14249.5,NULL,NULL,NULL,815,1774,32900
Intellitec College-Grand Junction,10398,NULL,NULL,NULL,536,1467,20800
