INSTNM,DEBT_MDN,COSTT4_A,ADM_RATE,SAT_AVG,UGDS,AVGFACSAL,MD_EARN_WNE_P10
University of California-Berkeley,13000,32715,0.18,1350,25951,14652,61800
University of California-Davis,12179.5,31803,0.4521,1192,26483,12065,56300
University of California-Irvine,14515,28980,0.4239,1122,23517,12839,55100
University of California-Los Angeles,13200,31474,0.2199,1289,28667,15089,58700
University of California-Riverside,15500,29787,0.62,1078,18612,11324,47300
University of California-San Diego,16500,29751,0.375,1276,23792,13126,58600
University of California-San Francisco,6567,NULL,NULL,NULL,NULL,11593,135500
University of California-Santa Barbara,13000,31913,0.4444,1212,19362,13048,52500
University of California-Santa Cruz,15000,33208,0.5991,1087,15695,12110,43700
Sofia University,PrivacySuppressed,NULL,NULL,NULL,20,6887,NULL
California Beauty School,7748,NULL,NULL,NULL,114,NULL,PrivacySuppressed
California Christian College,9500,17109,0.8333,NULL,30,1185,PrivacySuppressed
California College San Diego,14750,27138,NULL,NULL,280,4887,47300
Le Cordon Bleu College of Culinary Arts-San Francisco,9150,23262,NULL,NULL,489,5493,35700
California Hair Design Academy,6590,NULL,NULL,NULL,219,NULL,18100
California Institute of the Arts,27000,56435,0.2992,NULL,987,6290,36500
California State University Maritime Academy,18897.5,22223,0.748,1080,1044,8259,79000
California Western School of Law,PrivacySuppressed,NULL,NULL,NULL,NULL,12654,74700
Canada College,4750,9010,NULL,NULL,5217,8272,33500
College of the Canyons,4750,11251,NULL,NULL,16784,8920,37900
Career Academy of Beauty,6333,NULL,NULL,NULL,167,NULL,19900
Casa Loma College-Van Nuys,9500,NULL,1,NULL,606,6110,46400
CET-San Diego,5109,NULL,NULL,NULL,267,NULL,22000
CET-San Jose,5109,NULL,NULL,NULL,345,NULL,22000
CET-El Centro,5109,NULL,NULL,NULL,234,NULL,22000
CET-Colton,5109,NULL,NULL,NULL,103,NULL,22000
CET-Watsonville,5109,NULL,NULL,NULL,88,NULL,22000
CET-Gilroy,5109,NULL,NULL,NULL,104,NULL,22000
CET-Salinas,5109,NULL,NULL,NULL,65,NULL,22000
Cerritos College,3500,9083,NULL,NULL,20011,9534,30900
Cerro Coso Community College,PrivacySuppressed,11064,NULL,NULL,4029,8162,26500
Chabot College,5780,11269,NULL,NULL,12082,8342,34200
Chaffey College,3500,14156,NULL,NULL,17217,8641,29100
Chapman University,18341.5,57020,0.4471,1208,5940,11095,51900
Charles R Drew University of Medicine and Science,23750,26941,0.8889,735,83,6747,61700
Concordia University-Irvine,15000,41233,0.9119,1020,1916,7044,44300
San Diego Christian College,10816,37696,0.492,986,889,5271,34900
Church Divinity School of the Pacific,PrivacySuppressed,NULL,NULL,NULL,NULL,6270,NULL
Citrus College,4750,8256,NULL,NULL,11494,8454,28800
Citrus Heights Beauty College,PrivacySuppressed,NULL,NULL,NULL,96,NULL,NULL
City College of San Francisco,4750,9475,NULL,NULL,24662,7668,34400
Claremont Graduate University,6000,NULL,NULL,NULL,NULL,13536,62700
Claremont McKenna College,11238,60065,0.1173,1397,1311,12517,75000
Milan Institute-Visalia,8971,NULL,NULL,NULL,354,NULL,23500
Clovis Adult Education,PrivacySuppressed,NULL,NULL,NULL,608,NULL,34500
Coastline Community College,5125,11569,NULL,NULL,8999,9444,31700
Cogswell College,9500,32243,0.7784,NULL,457,7785,54600
Coleman University,17734,29842,1,NULL,532,3645,42000
Coba Academy,10756,NULL,NULL,NULL,40,NULL,18800
Western University of Health Sciences,PrivacySuppressed,NULL,NULL,NULL,NULL,9559,129500
Columbia College,PrivacySuppressed,12210,NULL,NULL,2425,8447,24800
Columbia College Hollywood,21798,30642,0.548,NULL,314,4167,31700
Compton College,3627.5,12723,NULL,NULL,6846,8037,31300
Contra Costa College,4250,15105,NULL,NULL,5468,8041,29800
Cosumnes River College,4750,13537,NULL,NULL,12852,8084,27500
Crafton Hills College,PrivacySuppressed,16696,NULL,NULL,4716,4905,32600
Cuesta College,5500,15169,NULL,NULL,7964,7169,35000
Cuyamaca College,3500,7866,NULL,NULL,7778,7401,26500
Cypress College,4750,10174,NULL,NULL,14923,10467,33900
De Anza College,4500,10046,NULL,NULL,20496,8848,40000
Marinello Schools of Beauty-Hemet,6584,NULL,NULL,NULL,1330,NULL,13200
International School of Beauty Inc,6396,NULL,NULL,NULL,229,NULL,PrivacySuppressed
Dell'Arte International School of Physical Theatre,PrivacySuppressed,NULL,0.6667,NULL,14,1895,PrivacySuppressed
College of the Desert,4500,14046,NULL,NULL,8330,9518,29500
Design Institute of San Diego,21000,29477,NULL,NULL,181,5000,33900
Diablo Valley College,3500,14386,NULL,NULL,18566,8198,37900
Dominican University of California,25000,56165,0.7752,1057,1567,8770,51900
Dominican School of Philosophy & Theology,PrivacySuppressed,NULL,NULL,NULL,NULL,2739,NULL
East Los Angeles College,4500,14901,NULL,NULL,33439,6777,30100
Marinello Schools of Beauty-Santa Clara,7415,NULL,NULL,NULL,566,NULL,PrivacySuppressed
El Camino Community College District,3627.5,16018,NULL,NULL,22222,8473,31300
Elegance International,6333,NULL,NULL,NULL,205,NULL,16400
Marinello Schools of Beauty-Burbank,9233,NULL,NULL,NULL,397,NULL,13900
Marinello Schools of Beauty-Moreno Valley,8725,NULL,NULL,NULL,254,NULL,14000
Emperor's College of Traditional Oriental Medicine,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,NULL
Empire College,12500,NULL,NULL,NULL,412,3721,34000
Evergreen Valley College,4500,14405,NULL,NULL,7472,9471,35000
FIDM-Fashion Institute of Design & Merchandising-Los Angeles,12000,42958,0.5701,NULL,3459,2756,35200
FIDM-Fashion Institute of Design & Merchandising-San Francisco,12000,42052,0.6358,NULL,637,2367,35200
FIDM-Fashion Institute of Design & Merchandising-Orange County,12000,38721,0.6915,NULL,214,2525,35200
Feather River Community College District,5351,14908,NULL,NULL,1444,6070,25600
Federico Beauty Institute,6333,NULL,NULL,NULL,246,NULL,24900
Fielding Graduate University,PrivacySuppressed,NULL,NULL,NULL,NULL,6026,NULL
Five Branches University,PrivacySuppressed,NULL,NULL,NULL,NULL,NULL,PrivacySuppressed
Hair California Beauty Academy,PrivacySuppressed,NULL,NULL,NULL,47,NULL,NULL
Foothill College,6000,10399,NULL,NULL,13362,8665,45700
Franciscan School of Theology,PrivacySuppressed,NULL,NULL,NULL,NULL,4784,NULL
Fredrick and Charles Beauty College,PrivacySuppressed,NULL,NULL,NULL,83,NULL,PrivacySuppressed
Fresno City College,3000,10804,NULL,NULL,18888,8390,26600
Fresno Pacific University,12895,33973,0.7844,979,2496,6562,41000
Fuller Theological Seminary,PrivacySuppressed,NULL,NULL,NULL,NULL,7127,PrivacySuppressed
Fullerton College,4750,10533,NULL,NULL,22295,10472,32800
Gavilan College,4500,11544,NULL,NULL,5267,8319,27300
Gemological Institute of America-Carlsbad,8233,NULL,NULL,NULL,192,NULL,40300
Glendale Community College,5250,8859,NULL,NULL,14102,8263,31900
Glendale Career College,8430,NULL,1,NULL,293,NULL,28100
Golden Gate University-San Francisco,13576.5,NULL,NULL,NULL,470,10541,69200
Golden West College,4750,16230,NULL,NULL,11689,9546,30400
Graduate Theological Union,PrivacySuppressed,NULL,NULL,NULL,NULL,7045,NULL
Grossmont College,3500,7759,NULL,NULL,17042,7678,33100
Salon Success Academy-Riverside,10515.5,NULL,NULL,NULL,30,NULL,14200
Hartnell College,4429.5,14629,NULL,NULL,8829,8459,31200
Harvey Mudd College,23248,60613,0.1817,1483,803,12450,74200
Heald College-Rancho Cordova,6334,24503,NULL,NULL,1146,4803,34600
Heald College-Fresno,6334,23046,NULL,NULL,1791,3896,34600
Heald College-San Jose,6334,23209,NULL,NULL,1668,4604,34600
Heald College-San Francisco,6334,23587,NULL,NULL,1070,4617,34600
Heald College-Concord,6334,22720,NULL,NULL,1502,4515,34600
Hilltop Beauty School,PrivacySuppressed,NULL,NULL,NULL,126,NULL,18800
Holy Names University,18750,46994,0.5668,910,800,7717,51100
Pacifica Graduate Institute,PrivacySuppressed,NULL,NULL,NULL,NULL,8539,NULL
Humboldt State University,13000,23113,0.8018,1008,7748,8148,34700
Humphreys University-Stockton and Modesto Campuses,14115,21029,NULL,NULL,757,8986,26800
Imperial Valley College,PrivacySuppressed,9320,NULL,NULL,6663,6030,23000
Institute for Business and Technology,8023,NULL,NULL,NULL,173,NULL,32200
